Label,Acc X-mean,Acc X-median,Acc X-std,Acc X-mad,Acc X-max,Acc X-min,Acc X-iqr,Acc X-autocorr,Acc Y-mean,Acc Y-median,Acc Y-std,Acc Y-mad,Acc Y-max,Acc Y-min,Acc Y-iqr,Acc Y-autocorr,Acc Z-mean,Acc Z-median,Acc Z-std,Acc Z-mad,Acc Z-max,Acc Z-min,Acc Z-iqr,Acc Z-autocorr,Gyro X-mean,Gyro X-median,Gyro X-std,Gyro X-mad,Gyro X-max,Gyro X-min,Gyro X-iqr,Gyro X-autocorr,Gyro Y-mean,Gyro Y-median,Gyro Y-std,Gyro Y-mad,Gyro Y-max,Gyro Y-min,Gyro Y-iqr,Gyro Y-autocorr,Gyro Z-mean,Gyro Z-median,Gyro Z-std,Gyro Z-mad,Gyro Z-max,Gyro Z-min,Gyro Z-iqr,Gyro Z-autocorr
2,2.590693839,2.580350876,0.063992915,0.019153595,2.762310266,2.470217705,0.03830719,0.796768579,-9.263070183,-9.26556015,0.024124899,0.014365196,-9.208099365,-9.308655739,0.028730392,0.694053865,0.193595151,0.199915842,0.049474926,0.040701433,0.264559299,0.068234749,0.083797057,0.711603589,0.00193079,0.000399474,0.005005107,0.003462107,0.012117374,-0.004127896,0.00652474,0.9399679,-0.007210503,-0.003595265,0.014958841,0.006524739,0.024101591,-0.033422645,0.014247901,0.914619252,0.001290301,0.000932106,0.002105131,0.00133158,0.00652474,-0.000932106,0.002663159,0.928193104
2,2.586336393,2.580350876,0.055142281,0.019153595,2.704849482,2.498948097,0.057460785,0.722303124,-9.260819635,-9.26556015,0.024067373,0.019153595,-9.208099365,-9.294290543,0.03830719,0.736460323,0.203602913,0.202310041,0.034555515,0.019153609,0.264559299,0.092176765,0.038307219,0.60502568,-0.001251685,-0.002929475,0.003891404,0.003328949,0.003994739,-0.008788425,0.005592634,0.912736134,0.001990712,-0.000798948,0.015232976,0.007456846,0.024101591,-0.033422645,0.012916322,0.912502924,0.000221042,-0.000266316,0.001965436,0.001464738,0.003462107,-0.002796317,0.003195791,0.955926547
2,2.5916994,2.599504471,0.062037362,0.033518791,2.719214678,2.498948097,0.071825981,0.798980201,-9.255983353,-9.251194954,0.02276684,0.014365196,-9.203310966,-9.294290543,0.03830719,0.812332439,0.20120871,0.202310041,0.025106956,0.014365211,0.264559299,0.144849196,0.01915361,0.493596701,-0.001708416,-0.002663159,0.003390972,0.002396843,0.003994739,-0.008788425,0.003728423,0.92568143,0.000137153,0.0,0.010622287,0.008388951,0.024101591,-0.013981585,0.015046849,0.901044228,-0.000173105,-0.00066579,0.002270953,0.001597895,0.003462107,-0.002796317,0.005060002,0.918277825
2,2.622057862,2.609081268,0.061012111,0.043095588,2.795829058,2.522890091,0.090979576,0.766694951,-9.245879898,-9.251194954,0.038240127,0.019153595,-9.131484985,-9.323021889,0.034715891,0.650002898,0.194073987,0.202310041,0.05771052,0.023942023,0.350750536,0.015562311,0.043095634,0.659881523,-4.13e-05,-0.000399474,0.004279496,0.002263685,0.009587373,-0.00585895,0.004926845,0.910328481,-0.004391549,0.0,0.008526227,0.003062633,0.008388951,-0.019574219,0.015446322,0.877832831,-0.000494016,-0.000798948,0.003239336,0.001731053,0.005459476,-0.006258424,0.004127896,0.869518553
2,2.652129033,2.661753655,0.056433928,0.043095828,2.795829058,2.551620483,0.093373835,0.688690011,-9.238745184,-9.241618156,0.037728603,0.019153595,-9.131484985,-9.323021889,0.03830719,0.614879171,0.191153062,0.202310041,0.057440905,0.019153609,0.350750536,0.015562311,0.035913024,0.639308646,-0.001924132,-0.003595265,0.007477242,0.003328949,0.010386321,-0.012250531,0.01105211,0.920258604,0.001013332,0.001198422,0.011137898,0.005592634,0.022503695,-0.019574219,0.010253162,0.875193608,-0.000613858,-0.000932106,0.003341375,0.002796317,0.005459476,-0.006258424,0.004127896,0.866178735
2,2.670516496,2.680907249,0.040505701,0.023942233,2.776675463,2.575562477,0.076614618,0.610674067,-9.237978973,-9.236829758,0.016686617,0.014365197,-9.203310966,-9.275136948,0.023941994,0.596671546,0.180187618,0.18555063,0.029144844,0.026336223,0.22146365,0.10175357,0.039504335,0.776640492,-0.002514022,-0.00585895,0.00813041,0.004660528,0.012650006,-0.012250531,0.01238369,0.919112805,0.002556633,0.0,0.010079395,0.004793686,0.022503695,-0.012650006,0.015845796,0.878571759,-0.000137153,-0.000932106,0.003564142,0.001731053,0.005992108,-0.004793686,0.005725792,0.921725462
2,2.722566447,2.700061083,0.071861532,0.03591311,2.848501444,2.599504471,0.100556612,0.817760693,-9.21944787,-9.22725296,0.025151171,0.014365196,-9.174580574,-9.275136948,0.047883987,0.720622374,0.140060798,0.159214407,0.050958269,0.023942008,0.245405674,0.005985504,0.047884033,0.726275418,-0.002567285,-0.003595265,0.007178241,0.005459476,0.012650006,-0.011584742,0.012383689,0.918458712,0.011454247,0.006791056,0.015637971,0.006990793,0.035020541,-0.012650006,0.031957909,0.92511606,-0.000150469,-0.000399474,0.004519359,0.003462107,0.005992108,-0.008388951,0.006924214,0.915186635
2,2.738655486,2.728791475,0.069406668,0.057460785,2.848501444,2.546832085,0.129287005,0.659685381,-9.217101555,-9.222464561,0.024065304,0.019153595,-9.174580574,-9.279925346,0.043095589,0.670004156,0.132638773,0.125695586,0.052663092,0.038307235,0.245405674,0.005985504,0.062249244,0.700131316,-0.000264984,0.00193079,0.00635154,0.003195792,0.005725792,-0.011584742,0.008255794,0.929377838,0.013973596,0.009920268,0.015700504,0.014847112,0.035020541,-0.00519316,0.033289489,0.924498856,0.004033354,0.002862896,0.006938562,0.004394212,0.01691106,-0.008388951,0.007057372,0.949435339
2,2.676166818,2.666542053,0.064385428,0.040701509,2.814982653,2.546832085,0.081403017,0.703666045,-9.238218393,-9.236829758,0.02010108,0.014365197,-9.208099365,-9.308655739,0.023941994,0.535252353,0.170515044,0.16879122,0.045830415,0.028730423,0.278924495,0.077811554,0.058657933,0.809292983,0.003063965,0.004261055,0.003341193,0.002063949,0.008655267,-0.002396843,0.005326318,0.924860968,0.010543447,0.00972053,0.01114996,0.01105211,0.025699485,-0.00519316,0.023302642,0.942431803,0.006371608,0.007323687,0.005079269,0.004194475,0.01691106,0.000133158,0.007057372,0.955051936
2,2.641786077,2.63781166,0.05535477,0.040701389,2.757521868,2.518101692,0.071825981,0.691985331,-9.246837511,-9.251194954,0.023320579,0.014365196,-9.179368973,-9.308655739,0.028730392,0.4190129,0.193738802,0.187944829,0.048275639,0.038307235,0.29807812,0.106541976,0.086191267,0.69735882,-0.001693769,-0.001731053,0.005750375,0.003861581,0.008655267,-0.01304948,0.007456845,0.944824513,0.017437034,0.015046849,0.012830242,0.005725792,0.046472125,-0.001597896,0.012250532,0.883475193,0.004873581,0.00519316,0.004335804,0.00392816,0.011185268,-0.001731053,0.007856319,0.91066118
